h3_cell,police_station,violation_count,violations_per_device,lambda_normalized,mu,expected_n,mean_dwell,dwell_samples,chronic_offender_count,bpr_delay_min_per_km,hotspot_status,gi_z_score
8960144a2cbffff,No Police Station,1,1.0,0.0002760664215810324,0.6057786546239967,0.00045572160635535305,99.04607820366607,0.0,0.0,0.0721285610858029,NOT_HOTSPOT,-0.3068628427340854
8960144a2dbffff,No Police Station,4,4.0,0.0011042656863241296,0.6057786546239967,0.0018228864254214122,99.04607820366607,0.0,0.0,0.07237019883298856,NOT_HOTSPOT,-0.335926305797564
8960144a64bffff,No Police Station,3,3.0,0.0008281992647430972,0.6057786546239967,0.001367164819066059,99.04607820366607,0.0,0.0,0.07217242012305913,NOT_HOTSPOT,-0.3262379078351828
8960144b4dbffff,Chikkabanavara,19,19.0,0.0052452620100396155,0.6057786546239967,0.008658710520751707,99.04607820366607,0.0,0.0,0.07244729570991648,EMERGING,-0.4189707174307284
8960144b5a3ffff,No Police Station,12,6.0,0.0016563985294861944,0.6057786546239967,0.002734329638132118,99.04607820366607,0.0,0.0,0.07247485518755603,NOT_HOTSPOT,-0.3553051951387544
8960144b5afffff,No Police Station,3,1.5,0.0004140996323715486,0.6057786546239967,0.0006835824095330295,99.04607820366607,0.0,0.0,0.07219436214290154,NOT_HOTSPOT,-0.3117064153152898
8960144b5b3ffff,No Police Station,2,1.0,0.0002760664215810324,0.6057786546239967,0.00045572160635535305,99.04607820366607,0.0,0.0,0.07212308104896614,NOT_HOTSPOT,-0.3068628427340854
89601451097ffff,Thalagattapura,1,1.0,0.0002760664215810324,0.6057786546239967,0.00045572160635535305,99.04607820366607,0.0,0.0,0.10807783186131381,NOT_HOTSPOT,-0.0551728277537223
896014511cbffff,Thalagattapura,1,1.0,0.0002760664215810324,0.6057786546239967,0.00045572160635535305,99.04607820366607,0.0,0.0,0.07206283497902888,NOT_HOTSPOT,-0.3919480055574534
89601451207ffff,Kengeri,8,8.0,0.002208531372648259,0.6057786546239967,0.0036457728508428244,99.04607820366607,0.0,0.0,0.0722053362797892,NOT_HOTSPOT,-0.3754976529721267
8960145120fffff,Kengeri,2,1.0,0.0002760664215810324,0.6057786546239967,0.00045572160635535305,99.04607820366607,0.0,0.0,0.1081106761944346,NOT_HOTSPOT,-0.2833631310971551
89601451233ffff,Kengeri,1,1.0,0.0002760664215810324,0.6057786546239967,0.00045572160635535305,99.04607820366607,0.0,0.0,0.07205188790754269,NOT_HOTSPOT,-0.3076731776181174
